split_index,dataset,embedding_type,method,labelled_samples,model,accuracy,precision,recall,f1,experiment_id
7,KSC,cae,assemble,10,neural_network,0.6005262003946503,0.6338932567120796,0.6005262003946503,0.5906361035246458,experiment_20250524_012832
8,KSC,cae,assemble,10,neural_network,0.5783819337864503,0.6417852698621007,0.5783819337864503,0.5528637878551892,experiment_20250524_012832
9,KSC,cae,assemble,10,neural_network,0.5389169041876781,0.5884650119985243,0.5389169041876781,0.5411450179467603,experiment_20250524_012832
0,KSC,cae,assemble,10,random_forest,0.8327121245340934,0.8481558568093716,0.8327121245340934,0.835582917172034,experiment_20250524_012355
1,KSC,cae,assemble,10,random_forest,0.7649638237228678,0.7859814317604031,0.7649638237228678,0.750882093865171,experiment_20250524_012355
2,KSC,cae,assemble,10,random_forest,0.732295549221662,0.7810564164896897,0.732295549221662,0.7287792669666088,experiment_20250524_012355
3,KSC,cae,assemble,10,random_forest,0.8298618723964043,0.8518571028008043,0.8298618723964043,0.8195872087632236,experiment_20250524_012355
4,KSC,cae,assemble,10,random_forest,0.8175838631878974,0.8338241807070503,0.8175838631878974,0.8179416859509352,experiment_20250524_012355
5,KSC,cae,assemble,10,random_forest,0.785792589344442,0.8186980917499648,0.785792589344442,0.7626803575689407,experiment_20250524_012355
6,KSC,cae,assemble,10,random_forest,0.8162683622012716,0.8317722531515905,0.8162683622012716,0.81542587505554,experiment_20250524_012355
7,KSC,cae,assemble,10,random_forest,0.7803113352335014,0.8166807684012124,0.7803113352335014,0.7708990969874502,experiment_20250524_012355
8,KSC,cae,assemble,10,random_forest,0.812541109405832,0.846379260521892,0.812541109405832,0.7924104546445029,experiment_20250524_012355
9,KSC,cae,assemble,10,random_forest,0.8360008770006577,0.8463473541267549,0.8360008770006577,0.8307867791235145,experiment_20250524_012355
0,KSC,cae,assemble,20,logistic_regression,0.8770006577504933,0.8822749750451391,0.8770006577504933,0.8779564229713146,experiment_20250525_004054
1,KSC,cae,assemble,20,logistic_regression,0.8590221442666082,0.8609219328779519,0.8590221442666082,0.8569073062049649,experiment_20250525_004054
2,KSC,cae,assemble,20,logistic_regression,0.8708616531462399,0.8732895115008529,0.8708616531462399,0.8686728875648704,experiment_20250525_004054
3,KSC,cae,assemble,20,logistic_regression,0.8682306511729884,0.8723326147048605,0.8682306511729884,0.8648344313885339,experiment_20250525_004054
